Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
Nobody Knows,"Mar  2, 2020 - Apr 21, 2020",2020,SBS," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Detective Young Jin, from the regional investigation unit, has only one thing on her mind: to catch the 'Stigmata' serial killer that murdered her friend 19 years ago. She carries guilt and trauma over the event. She has no friends and lives alone. Her downstairs neighbor’s son, Eun Ho, has built a relationship with her ever since she moved above their apartment. He does menial house chores for her. One day Eun Ho, seems to have fallen off the roof of their apartment building and left in a coma. Young Jin senses foul play and decides to take it upon herself to get to the bottom of it. With the help of Eun Ho’s homeroom teacher, Sun Woo, the both begin to uncover that Eun Ho’s injuries were no accident. Edit Translation  English Русский Italiano Español","Thriller,  Mystery,  Drama,  Melodrama ","Strong Female Lead, Smart Female Lead, Unusual Friendship, Murder, Death, Strong Friendship, Guilt, Calm Female Lead, Serial Killer, Trauma",Lee Jung Heum,Kim Eun Hyang,"Kim Seo Hyung, Ryu Deok Hwan, Park Hoon, Ahn Ji Ho, Min Jin Woong, Kang Ye Won",The Story Works,#102
Bad Guys,"Oct  4, 2014 - Dec 13, 2014",2014,OCN,Saturday,11,1 hr. 5 min.,18+ Restricted (violence & profanity),8.5,"To combat rising violent crimes, the Police Chief asks Detective Oh Goo Tak to form a team consisting of criminals. ","Action,  Thriller,  Psychological,  Crime ","Psychopath, Murder, Teamwork, Serial Killer, Strong Male Lead, Gangster, Smart Male Lead, Skilled Killer, Violence, Death","Shin Yong Hwi, Kim Jung Min",Han Jung Hoon,"Kim Sang Joong, Park Hae Jin, Jo Dong Hyuk, Ma Dong Seok, Kang Ye Won, Kang Shin Il",Urban Works Media,#103
Beautiful World,"Apr  5, 2019 - May 25, 2019",2019,"jTBC,  Viki "," Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.5,"This drama is about a boy on the edge of life and death, and his family's quest to find the truth.  Amidst the lies and secrets, mistrust and pain, the family looks for hope in this crazy world.  Mu Jin, is a teacher and a father. His wife, In Ha, runs 'Ho Ho Bakery' and they have a 9th-grade son and an 8th-grade daughter.  For the sake of their kids' education, they move to a different neighborhood. One day, at their new competitive school, Sun Ho gets into an accident, causing him to become brain dead.  The father and mother, filled with great guilt and rage because of the accident, investigate to find out what happened to cause the accident.  Su Ho, Sun Ho's baby sister, also sets out on her own to find out the truth behind her brother's accident.","Life,  School,  Family,  Melodrama ","School Bullying, Family Relationship, Coma, Tearjerker, Sibling, Student, Psychopath, High School, Married Couple, Strong Female Lead",Park Chan Hong,Kim Ji Woo,"Park Hee Soon , Choo Ja Hyun, Oh Man Suk, Cho Yeo Jung, Nam  Da Reum , Kim Hwan Hee","MI Inc., NK Mulsan",#104
Arthdal Chronicles Part 1,"Jun  1, 2019 - Jun 16, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.5,"Set in the fictional land of Arthdal during ancient times(bronze age). Eun Seom was born with a fate to bring disaster to Arthdal, which leads him and his mother, who wants to save him, to endure hardships. Finally, they decide to leave and travel together to a better place. Although Eun Seom grows up in the new land, he is seen as an outcast because he is different from the land's natives. Ta Gon is a war hero of Arthdal. He has paved the way for Arthdal to become a prosperous city and nation and he is the strongest warrior in Arthdal. He dreams of becoming the first king of Arthdal.","Historical,  Romance,  Fantasy,  Political ","Power Struggle, Multiple Mains, Curse, Hidden Identity, Identical Twins, Strong Female Lead, War, Orphan Male Lead, Slavery, Shamanism",Kim Won Suk,"Kim Young Hyun, Park Sang Yeon","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Eui Sung, Lee Do Kyung","Studio Dragon, KPJ",#105
Kairos,"Oct 26, 2020 - Dec 22, 2020",2020,MBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Living a precarious life as a part-timer at a convenience store, Ae Ri strives to support her mother who is on a waiting list for a heart transplant. Unfortunately, her mother’s worsened physical condition leads her to forgo the long-awaited opportunity for the transplant, and just like that her mother disappears. Things were already chaotic enough for Ae Ri when she receives a phone call from a strange man claiming to be from the same world but 31 days in the future. Ironically, he desperately asks Ae Ri for help. Seo Jin, a father and a husband of a close-knit family, has been living a successful life as the youngest person to become a director at a construction company. One day, it all crumbles down with the kidnapping of his daughter and his wife’s suicide. On the verge of breaking down, he is given an opportunity to restore everything that was lost under one condition, help from a strange woman. To bring his daughter and wife back to life, he makes a phone call as the clock strikes 10:33.","Action,  Thriller,  Drama,  Sci-Fi ","Time Altering, Past And Present, Hardworking Male Lead, Smart Male Lead, Family Secret, Rich Male Lead, Betrayal, Gaslighting, Different Timelines, Successful Male Lead","Park Seung Woo, Sung Chi Wook",Lee Soo Hyun,"Shin Sung Rok, Lee Se Young, Ahn Bo Hyun, Nam Gyu Ri, Kang Seung Yoon, Jo Dong In","OH Story, Blossom Story",#106
I Hear Your Voice,"Jun  5, 2013 - Aug  1, 2013",2013,SBS," Wednesday, Thursday",18,60 min.,15+ - Teens 15 or older,8.5,"Jang Hye Sung, a bold, sassy, thick-faced, comical, and a materialistic public defender who becomes a lawyer after overcoming poverty and painful memories from her childhood, comes to realization about society and justice after meeting Park Soo Ha, a 19-year-old boy who reads other people’s thoughts and Cha Kwan Woo, an innocent lawyer who lives a disciplined life. Jang Hye Sung is actually Soo Ha's first love after she gave a decisive testimony on his father's murder case 10 years ago and Soo Ha promised to protect her from the killer's threats. Meanwhile, Cha Kwan Woo is Jang Hye Sung's fellow lawyer, a cheerful and an idealistic former cop even though his character is a bit slow, he is nice and pleasant with a firm idea of his principles and justice. Together they will team up to find the justice in the courtroom and solve the toughest cases with less than 1% chance of winning.","Mystery,  Law,  Romance,  Supernatural ","Special Power, Revenge, Smart Female Lead, Trauma, Strong Female Lead, Older Woman/Younger Man, Male Chases Female First, Age Gap, Mind Reading, Cohabitation",Jo Soo Won,Park Hye Ryun,"Lee Jong Suk, Lee Bo Young, Yoon Sang Hyun, Lee Da Hee, Jung Woong In, Yoon Joo Sang","Doremi Entertainment, Kim Jong-hak Production",#107
What's Wrong with Secretary Kim,"Jun  6, 2018 - Jul 26, 2018",2018,tvN," Wednesday, Thursday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.5,"The series revolves around the narcissistic Lee Young Joon, the vice president of a company run by his family. He is very self-absorbed and thinks highly of himself, so much that he barely acknowledges the people around him. Lee Young Joon has a capable and patient secretary Kim Mi So who has remained by his side and worked diligently for 9 years without any romantic involvement. However, Mi So now wants to set her life & focus on herself so when she decides to resign from her job, hilarious misunderstandings ensue. After 9 years of their strictly-workplace relationship, can it now develop in something more?","Friendship,  Business,  Comedy,  Romance ","Adapted From A Webtoon, Steamy Kiss, Male Chases Female First, Boss-Employee Relationship, Office Romance, Rich Male Lead, Calm Female Lead, Trauma, Smart Female Lead, Secretary",Park Joon Hwa,"Baek Sun Woo, Choi Bo Rim","Park Min Young, Park Seo Joon, Lee Tae Hwan, Pyo Ye Jin, Kim Hye Ok, Kim Byung Ok",Bon Factory Worldwide,#108
Vagabond,"Sep 20, 2019 - Nov 23, 2019",2019,"Netflix,  SBS "," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"Cha Dal Gun becomes an awakened tiger in the face of his nephew’s death in a mysterious plane crash. As an orphan himself, he had raised his nephew singlehandedly in place of his brother who had passed on. Triggered by the large-scale cover-up of the incident, he sets off on a journey to discover the truth. ","Action,  Thriller,  Mystery,  Crime ","Plane Crash, Revenge, National Intelligence Service, Corruption, Agent, Death Of A Child, Death, Spy, Strong Male Lead, Terrorist",Yoo In Shik,"Jang Young Chul, Jung Kyung Soon","Lee Seung Gi, Bae Suzy, Shin Sung Rok, Baek  Yoon Shik, Moon Sung Geun, Kim Min Jong",Celltrion Entertainment,#109
One Ordinary Day,"Nov 27, 2021 - Dec 19, 2021",2021,ViuTV,"Saturday, Sunday",8,1 hr. 10 min.,18+ Restricted (violence & profanity),8.5,"A drama that explores the criminal justice system from an extremely popular perspective through the fierce story of two men surrounding the murder of a woman. Hyun Soo, an ordinary college student, suddenly becomes the primary suspect in a murder case. Shin Joong Han is the only lawyer willing to help Kim Hyun Soo. Having just barely passed law school, Shin Joong Han's involvement in Kim Hyun Soo's case eventually takes his unremarkable life to new heights.","Thriller, Mystery, Law, Crime","Murder, Investigation, Brief Nudity, Sexual Content, Death, Student, Lawyer Male Lead, Drug Usage, Trial, Violence",Lee Myung Woo,Kwon Soon Gyu,"Kim Soo Hyun, Cha Seung Won, Lee Seol, Kim Shin Rok, Kim Hong Pa, Kim Sung Gyu","Studio M, Chorokbaem Media, Gold Medalist",#110
Reply 1997,"Jul 24, 2012 - Sep 18, 2012",2012,tvN,Tuesday,16,60 min.,15+ - Teens 15 or older,8.5,"Set in the 1990's, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that they're getting married.","Comedy,  Romance,  Life,  Family ","Childhood Friends, High School, 1990s, Strong Friendship, First Love, Best Friends, Friends To Lovers, Bromance, Love Square, Unrequited Love",Shin Won Ho,"Lee Woo Jung, Kim Ran Joo","Jung Eun Ji, Seo In Guk, Hoya, Shin So Yool, Eun Ji Won, Lee Si Eon",CJ ENM,#111
Doctor John,"Jul 19, 2019 - Sep  7, 2019",2019,SBS," Friday, Saturday",32,35 min.,15+ - Teens 15 or older,8.5,"“Doctor John” is a medical drama about doctors specializing in pain management. In a refreshing take on the genre, “Doctor John” will portray the doctors’ search for the cause of their patients’ mysterious pain as a thrilling chase, almost like a detective hunting down the perpetrator behind an unsolved crime. ","Mystery,  Romance,  Life,  Medical ","Smart Male Lead, Incurable Disease, Eccentric Male Lead, Euthanasia, Hardworking Male Lead, PTSD, Ex-convict, Secret, Trauma, Tragic Past",Jo Soo Won,Kim Ji Woon,"Ji Sung, Lee Se Young, Lee Kyu Hyung, Hwang Hee, Jung Min Ah, Kwon Hwa Woon",KPJ,#112
"Hi Bye, Mama!","Feb 22, 2020 - Apr 19, 2020",2020,"Netflix, tvN","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.5,"It's the story of a mother who died and begins a 49-day long project of reincarnation, and a husband who has barely begun to live a new life after overcoming the pain of losing his wife. Jo Kang Hwa is a skilled thoracic surgeon. After losing his wife four years ago, he had been working as a single father until he got married again two years ago. While he seems like a caring person, he does not offer a hand nor intervene when needed.","Romance, Drama, Melodrama, Supernatural","Mother-Daughter Relationship, Nice Female Lead, Death, Reincarnation, Sismance, Ghost, Heartbreak, Remarriage, Father-Daughter Relationship, Nice Stepmother",Yoo Je Won,Kwon Hye Joo,"Kim Tae Hee, Lee Kyu Hyung, Go Bo Gyeol, Seo Woo Jin, Shin Dong Mi, Oh Eui Shik",MI Inc.,#113
Voice,"Jan 14, 2017 - Mar 12, 2017",2017,OCN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.5,"Popular detective Moo Jin Hyuk who is filled with guilt for his wife’s death, works with professional voice profiler Kang Kwon Joo, whose father is killed, to solve a different crime, chasing for the serial killer responsible for the deaths of their family members.","Thriller, Mystery, Psychological","Strong Female Lead, Murder, Aggressive Male Lead, Special Power, Mad Dog, Death, Investigation, Suspense, Policewoman, Character Development",Kim Hong Seon,Ma Jin Won,"Jang Hyuk, Lee  Ha Na, Baek Sung Hyun, Ye Sung, Son Eun Seo, Kim Jae Wook",Content K,#114
Fight For My Way,"May 22, 2017 - Jul 11, 2017",2017,KBS2," Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.5,Can you still go after your dreams without the right background?,"Business,  Comedy,  Romance,  Sports ","Childhood Friends, Friends To Lovers, Strong Male Lead, Strong Female Lead, Neighbors, Strong Friendship, Personal Growth, Character Development, Secondary Couple, Ex-girlfriend Comes Back","Lee Na Jung, Kim Dong Hwi",Im Sang Choon,"Park Seo Joon, Kim Ji Won, Ahn Jae Hong, Song  Ha Yoon, Kim Sung Oh, Jin Hee Kyung",Pan Entertainment,#115
Squid Game,"Sep 17, 2021",2021,Netflix,Friday,9,60 min.,18+ Restricted (violence & profanity),8.5,"After a failed business venture, the debt-ridden chauffeur Seong Gi Hun lives his life gambling away the money he mooches off his elderly mother while failing to provide for her and his estranged daughter. When his life finally hits rock bottom, he receives an irresistible offer promising him a ₩45.6 billion prize in exchange for winning traditional Korean children's games against 455 other players, among them his childhood friend Cho Sang Woo. Commencing the games, the participants soon learn of the deadly consequences that come with losing.","Action,  Thriller,  Mystery,  Drama ","Death, Death Game, Poor Male Lead, Extreme Violence, Debt, Gore, Competition, Game Show, Survival, Murder",Hwang Dong Hyuk,Hwang Dong Hyuk,"Lee Jung Jae, Park Hae Soo, Jung Ho Yeon, Wi Ha Joon, Anupam Tripathi, Oh Young Soo",Siren Pictures Inc.,#116
W,"Jul 20, 2016 - Sep 14, 2016",2016,MBC,"Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.5,"Oh Sung Moo, the father of cardiothoracic surgeon Oh Yeon Joo, mysteriously goes missing while writing the last chapter of his webtoon ""W"". Yeon Joo goes to his office looking, but a hand from his monitor suddenly pulls her in, and she finds herself on the rooftop of a building, next to a bloodied man. She manages to save the person, only to realize that he is Kang Cheol, the main character of her father's webtoon. Yeon Joo later discovers she can only enter and leave the webtoon depending on Kang Cheol's feelings.","Thriller, Comedy, Romance, Fantasy","Parallel Dimension, Gun Violence, Crossworlds Traveler, Steamy Kiss, Rich Male Lead, Lovers Separated, Attempted Murder, Murder, Fight, Revenge",Jeong Dae Yun,Song Jae Jung,"Han Hyo Joo, Lee Jong Suk, Kim Eui Sung, Lee Tae Hwan, Jung Eugene, Lee Si Eon",Chorokbaem Media,#117
